排名,企业名称,综合得分,行业分类,参保人数,注册资本,联系方式,注册地址,企查查链接,评分理由,登记状态,主营业务
1,上海兆康通信设备工程有限公司,100,IT/互联网,110,13000万元,13391092050,上海市普陀区柳园路588号6幢23室,https://www.qcc.com/firm/92f783a69b13f017d4c86d690c53df00.html?source=export&from=ddexport,普陀区 | 大(110人/13000万) | 行业:IT/互联网 | 手机 | 固话 | 正常,存续,通信
2,上海六柿网络科技有限公司,100,其他,1,500万元,15821867384,上海市宝山区真陈路1000号1幢418-A、B、C、D、E、F、G、H、K、N、Z室,https://www.qcc.com/firm/07ad66324f868bce0286d3716bd52fee.html?source=export&from=ddexport,极近 | 大(1人/500万) | 行业:其他 | 手机 | 正常,存续,计算机
3,上海予厚贸易有限公司,100,制造业,0,50万元,15900807900;15221532135;15221565497,上海市普陀区红柳路255号2幢B区一层121-W室,https://www.qcc.com/firm/4968b8c7d3d8d954eb8d3e23e3b3d483.html?source=export&from=ddexport,普陀区 | 小 | 行业:制造业 | 手机 | 固话,注销（2024-04-16）,汽车零部件制造
4,上海立晏贸易有限公司,100,其他,0,200万元,13651855397,上海市宝山区真陈路718号5幢4层4032室,https://www.qcc.com/firm/cad5d10e4e1f428ca5252bfd79f4f18e.html?source=export&from=ddexport,极近 | 中 | 行业:其他 | 手机 | 正常,存续,商品批发
5,上海鲸乐酒业有限公司,100,其他,5,100万元,18721573960;13122834280,上海市普陀区红柳路255号2幢B区一层125-Z室,https://www.qcc.com/firm/6033f9db677fe449dc9c8ba8e6cfc096.html?source=export&from=ddexport,普陀区 | 小 | 行业:其他 | 手机 | 固话 | 正常,存续,商品批发
6,上海晨安餐饮店,100,其他,0,10万元,18895528950;15201973060,上海市宝山区真陈路788号5幢E区111室,https://www.qcc.com/firm/a1138da69b87ed5197d2ec2189b95ddf.html?source=export&from=ddexport,极近 | 微 | 行业:其他 | 手机 | 正常,存续,住宿和餐饮业
7,上海源兰美环境艺术设计有限公司,100,其他,1,50万元,13524934053;13761868685,上海市普陀区红柳路255号2幢B区一层165-H室,https://www.qcc.com/firm/c436d9a68da83a00cd41a8be423a863e.html?source=export&from=ddexport,普陀区 | 小 | 行业:其他 | 手机 | 固话 | 正常,存续,专业服务业
8,上海申伊自动化工程有限公司,100,制造业,0,600万元,18017549927,上海市普陀区柳园路556号5幢一层1789室,https://www.qcc.com/firm/d70ce9216da4449158e98e5fb40b519a.html?source=export&from=ddexport,普陀区 | 大(0人/600万) | 行业:制造业 | 手机 | 固话 | 正常,存续,自动化设备制造
9,上海往里贸易有限公司,100,其他,1,50万元,17634477041;13621859474,上海市宝山区真陈路1000号1幢6楼,https://www.qcc.com/firm/1790fde666cad661c1070389b61c295a.html?source=export&from=ddexport,极近 | 小 | 行业:其他 | 手机 | 正常,存续,商品零售
10,上海萃味食品有限公司,100,其他,0,100万元,13072133081,上海市普陀区红柳路255号6幢B区-297室,https://www.qcc.com/firm/3dc167706b009180295efd4a2a7a2fd0.html?source=export&from=ddexport,普陀区 | 小 | 行业:其他 | 手机 | 固话 | 正常,存续,商品批发
11,上海伯一贸易有限公司,100,IT/互联网,-,100万元,18221708915,上海市普陀区柳园路556号5幢212室,https://www.qcc.com/firm/8e92a0c77cb76931285f28f0c81ff552.html?source=export&from=ddexport,普陀区 | 小 | 行业:IT/互联网 | 手机 | 固话,注销（2019-05-10）,通信
12,上海德兆置业有限公司,100,其他,0,100万元,18916456557;13389891818;18516202286,上海市普陀区柳园路556号5幢一层2124室,https://www.qcc.com/firm/3341f7462b9e69076fbb4805fd160f3f.html?source=export&from=ddexport,普陀区 | 小 | 行业:其他 | 手机 | 固话 | 正常,存续,房地产开发
13,上海无界线网球俱乐部有限公司,100,体育/文化,0,50万元,16621199376,上海市宝山区真陈路1000号1幢418-A、B、C、D、E、F、G、H、K、N、Z室,https://www.qcc.com/firm/6e61643164628b5a3a265279a1a9ef0d.html?source=export&from=ddexport,极近 | 小 | 行业:体育/文化 | 手机 | 正常,存续,体育
14,上海大力金阳实业有限公司,100,其他,0,10万元,18721560611,上海市宝山区真陈路1000号1幢6楼,https://www.qcc.com/firm/14a85197de38171835ab0fa02ae2a23a.html?source=export&from=ddexport,极近 | 微 | 行业:其他 | 手机 | 固话,注销（2024-09-05）,住宿和餐饮业
15,上海卿菲贸易有限公司,100,其他,0,300万元,13681934199,上海市宝山区真陈路1000号1幢6楼,https://www.qcc.com/firm/ef62b9194001079683fd99088b63ed25.html?source=export&from=ddexport,极近 | 中 | 行业:其他 | 手机 | 正常,存续,商品批发
16,上海奔泽生物科技有限公司,100,其他,13,500万元,021-61486789,上海市宝山区园新路258弄4号11层1105室,https://www.qcc.com/firm/4ad71acce15116f683ceb8df7f5b3a18.html?source=export&from=ddexport,极近 | 大(13人/500万) | 行业:其他 | 固话 | 正常,存续,商品批发
17,上海胜易教育科技有限公司,100,其他,0,10万元,15900611417,上海市宝山区真陈路1000号1幢6楼,https://www.qcc.com/firm/ef601e8f918e2db730e252df80a0712f.html?source=export&from=ddexport,极近 | 微 | 行业:其他 | 手机 | 正常,存续,商品批发
18,上海新府工贸有限公司,100,制造业,36,360万元,13817569655,上海市普陀区柳园路89弄18号B座106室,https://www.qcc.com/firm/6c0179db06c81762f5d8997fea90ba4e.html?source=export&from=ddexport,普陀区 | 中 | 行业:制造业 | 手机 | 固话 | 正常,存续,家具家居制造
19,壹闲（上海）贸易有限公司,100,其他,2,2万元,13817636287;13524446254,上海市宝山区真陈路1000号1幢5楼（A座1-2000号、B座1-2000号）,https://www.qcc.com/firm/e5cf298c2e0a2242cbbeb8e518349227.html?source=export&from=ddexport,极近 | 微 | 行业:其他 | 手机 | 正常,存续,商品批发
20,上海起星文化传媒有限公司,100,体育/文化,0,100万元,13816792179,上海市普陀区红柳路255号6幢B区二层209-P室,https://www.qcc.com/firm/da80143a4ee331990c2c779fd1fc9f2b.html?source=export&from=ddexport,普陀区 | 小 | 行业:体育/文化 | 手机,注销（2025-03-28）,其他文化传媒
